Id,name,followers,popularity,genres,chart_hits,top_chart
6p93NbyqUbcIt3VDvBCBPa,Nanà ,292.0,1,[],['th (1)'],th
4vcc1VAbvzJjbMTsPYL6OU,黄霄雲,14334.0,47,[],"['sg (1)', 'tw (1)']",sg
4Wf4s9fjkHKp1B4kD86u4w,Sherol Dos Santos,6172.0,6,[],['it (1)'],it
6wje46d51a0hZE1gqkKL3J,TAEW,1385.0,31,[],['th (1)'],th
6kG0WKHsAOfWp5IsizmQxR,SACHI,15361.0,40,"['nz electronic', 'nz pop']",['nz (1)'],nz
0qZWRrQj38rwkxeRQ3HowZ,Ruben Annink,22014.0,43,"['dutch pop', 'dutch singer-songwriter']",['nl (1)'],nl
7EuXVmTcFfpvmFbi1CTctP,Kuningasidea,19686.0,33,"['finnish dance pop', 'finnish pop', 'finnish reggae']",['fi (8)'],fi
0Do6bAo2kcVLp7ekzypskJ,A Banca Records,142541.0,49,"['brazilian hip hop', 'trap brasileiro', 'trap carioca']",['br (1)'],br
1miuiUk8Xya3zRHZzqAYAW,Mokke,4495.0,42,"['swedish drill', 'swedish hip hop', 'swedish trap pop']",['se (2)'],se
0AtQAehoytV7j1r4O16dRb,Cooper Alan,251538.0,57,[],['no (1)'],no
4ur1jCwyNlhgd0viJkOtcQ,YooA,54528.0,37,[],['tw (1)'],tw
6bUbaWCjpjUl7pBQ4FQKgF,Linus S,5519.0,4,[],['se (2)'],se
5qpRZGcyFKPkQqecBMZ1wz,Kamerzysta,142172.0,35,['polish trap'],['pl (1)'],pl
5tG5dl5mS2wB5w72YBpsyg,Herbert Grönemeyer,629217.0,57,"['german pop', 'german rock', 'liedermacher']",['de (1)'],de
2PVg2kfkw7jNNVfy6ouB3H,Kpri,41055.0,47,"['french hip hop', 'pop urbaine', 'rap francais', 'rap lyonnais']",['fr (1)'],fr
1zO1FWFxxNUCqUuGATxZQZ,Gyakie,145598.0,51,"['afro r&b', 'azontobeats', 'nigerian pop']",['za (1)'],za
6meomXUCnPUYEWxITWNVZ0,Sherman Chung,10196.0,30,['cantopop'],['hk (1)'],hk
7mC8Nb2rN3hM0v0bpxaMzL,Kartky,277385.0,53,['polish hip hop'],['pl (8)'],pl
4h50ekU1ax70sX6deaIli9,RPG,10919.0,30,"['hong kong hip hop', 'taiwan hip hop', 'taiwan pop']",['tw (4)'],tw
5M3ffmRiOX9Q8Y4jNeR5wu,Wren Evans,26609.0,47,"['v-pop', 'vietnamese hip hop', 'vietnamese melodic rap']",['vn (3)'],vn
12SCd6QOxrQJIfAe5Y4bDN,Marty McKay,2545.0,10,[],['ni (1)'],ni
2zWCw43oRZ74LlMb14JWVR,Cravata,218031.0,42,"['moroccan pop', 'rai', 'rif']",['ma (9)'],ma
00Ja3YjvU4DYCHWt6cPs42,Jolyon Petch,25807.0,50,"['australian house', 'deep tropical house']","['au (1)', 'nz (1)']",au
4kwEd1P9j15ZqUVP5zK7Pv,Joe Stone,32782.0,55,"['deep groove house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm']","['gb (1)', 'cz (1)', 'ie (1)', 'it (1)', 'lt (1)', 'nl (1)', 'sk (1)']",gb
7drPVZKqAnbY227UltZV3l,Benedixhion,14722.0,39,"['russian drain', 'russian emo rap']","['ru (1)', 'ua (1)']",ru
3jPN2U65cMPzvozEBue5zp,SIDARTA,31493.0,60,"['greek pop', 'greek trap']","['cy (3)', 'gr (5)']",gr
5xRZqaqEy9SX8GrmtXoSGT,G22,6659.0,33,['taiwan hip hop'],['tw (2)'],tw
7BGR8y1VZAWK2oR4zD9COr,Protoje,335321.0,58,"['dancehall', 'modern reggae']",['cr (2)'],cr
78G38bSvPxoyNTM9AzgkIP,Frank Løke,696.0,13,[],['no (2)'],no
23jUmiOyAG9Dzq6Ayp9LUG,SPACESPEAKERS,125637.0,28,['v-pop'],['vn (1)'],vn
4vH9G6Sah9CmkDMDy4jUwe,Sphera,1867.0,21,[],['il (1)'],il
6NwYl6JuXxC9H8T0hkNg6Q,Herra Ylppö,25030.0,33,"['finnish post-punk', 'suomi rock']",['fi (9)'],fi
