,id,name,followers,popularity,genres,chart_hits,top_chart
5577,0N6CgWlBaskJj7kaAXSath,Vetkuk,4768.0,30,[],['za (2)'],za
5578,5iPtkyoEOCILhwFgl2a2d3,Bearcubs,41824.0,45,"['indie r&b', 'indie soul', 'vapor soul', 'vapor twitch']",,
5579,2VaVnndtmQ0CQxvYNOYe7H,Dj Cube,60.0,33,[],,
5580,08RxfNkJpjJ4dJb4xASWzj,Jacques Anthony,68345.0,33,"['russian hip hop', 'russian trap']",,
5581,4mAsWDGLUIEdo6imU77WG6,Boomdabash,640860.0,64,"['italian adult pop', 'italian pop', 'italian reggae']","['it (10)', 'ch (2)']",it
5582,6JSZJddy1dORbnzdx2ZLG9,Dj Agus Lima,2157.0,41,[],,
5583,4EzD52bDFGZTEeEucKHtDs,Sergio Vargas,367854.0,52,"['dominican pop', 'merengue', 'musica popular colombiana', 'tropical']",,
5584,0XMi14343o5LtUKVdKmMUj,Slings,57999.0,55,"['italian hip hop', 'trap italiana']",['it (3)'],it
5585,094tZMLXkYiIpf6u2XAaX1,Doozie,7112.0,32,[],,
5586,6MDME20pz9RveH9rEXvrOM,Clean Bandit,4901516.0,75,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky', 'uk pop']","['us (5)', 'gb (14)', 'ar (5)', 'au (8)', 'at (8)', 'be (7)', 'bo (6)', 'br (7)', 'bg (8)', 'ca (9)', 'cl (5)', 'co (6)', 'cr (5)', 'cy (8)', 'cz (9)', 'dk (8)', 'do (5)', 'ec (5)', 'eg (2)', 'sv (5)', 'ee (8)', 'fi (10)', 'fr (6)', 'de (9)', 'gr (7)', 'gt (5)', 'hn (5)', 'hk (8)', 'hu (9)', 'is (7)', 'in (1)', 'id (6)', 'ie (13)', 'il (4)', 'it (9)', 'jp (5)', 'lv (7)', 'lt (10)', 'lu (8)', 'my (8)', 'mt (7)', 'mx (6)', 'ma (1)', 'nl (8)', 'nz (7)', 'ni (5)', 'no (12)', 'pa (5)', 'py (5)', 'pe (5)', 'ph (6)', 'pl (8)', 'pt (7)', 'ro (5)', 'sa (2)', 'sg (9)', 'sk (9)', 'za (1)', 'kr (1)', 'es (6)', 'se (7)', 'ch (8)', 'tw (9)', 'th (4)', 'tr (5)', 'ae (2)', 'uy (6)', 'vn (6)', 'ad (2)']",gb
5587,1Ck3UYsoNkZ63PLY8yZR33,Abidoza,19659.0,48,['amapiano'],['za (2)'],za
5588,00VnRQuhdfjkeaXeDu5dlW,Anuel,20014.0,44,[],,
5589,6hS0eB6BQPvcKhIM6Ltem0,VinDon,1001.0,38,[],,
5590,5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,3381275.0,65,"['british soul', 'dance pop', 'europop', 'neo mellow', 'pop', 'post-teen pop', 'talent show', 'uk pop']","['us (2)', 'gb (1)', 'au (1)', 'at (2)', 'be (1)', 'bg (1)', 'ca (2)', 'cy (1)', 'cz (2)', 'dk (1)', 'ee (2)', 'fi (1)', 'de (1)', 'gr (3)', 'hk (3)', 'hu (4)', 'is (1)', 'ie (1)', 'it (3)', 'jp (1)', 'lv (3)', 'lt (3)', 'lu (1)', 'my (2)', 'mt (3)', 'nl (1)', 'nz (1)', 'ph (2)', 'pl (2)', 'pt (1)', 'ro (1)', 'sg (4)', 'sk (2)', 'za (1)', 'se (2)', 'ch (4)', 'tw (4)', 'ae (1)']",hu
5591,39T6qqI0jDtSWWioX8eGJz,The Doobie Brothers,2045634.0,66,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']","['fr (1)', 'nz (1)']",fr
5592,2zNZ34akT59w1oQQ7T50yf,Koldi,4119.0,40,[],,
5593,5KJO8SHDZrO7mvLq0FKu7b,Mega,41479.0,41,"['classic malaysian pop', 'malaysian pop', 'rock kapak']",,
5594,230oLPbBlmChg7zqy7kIok,Spacekid,252.0,37,['dream trance'],,
5595,3qdQnBjEBHrk5nZYxXdV1U,Skrilla,516.0,29,[],,
5596,0dQzwkQ8ESNa3Uz9NIWEEi,Imaani,2291.0,30,[],,
5597,5JHYuwE2n7bleXMUsmtCW5,BaianaSystem,209533.0,52,"['afrobeat brasileiro', 'brazilian indie', 'dub brasileiro', 'manguebeat', 'nova mpb', 'pop nacional', 'samba reggae']",,
5598,2DRf38XdC70skrAbP730Jo,YASSDI,3649.0,29,['indonesian viral pop'],,
5599,0NErdIJtuKBjtxKmlqaWdj,Divya Kumar,233543.0,62,"['desi pop', 'filmi', 'indian folk', 'modern bollywood']",,
5600,2m0y0cDl1US03sYgxv9r6s,JOWST,7841.0,28,['norwegian pop'],"['at (1)', 'be (1)', 'bg (1)', 'dk (1)', 'ee (1)', 'gr (1)', 'hu (1)', 'is (1)', 'lv (1)', 'lt (1)', 'mt (1)', 'no (2)', 'pl (1)', 'se (1)']",no
5601,1QRj3hoop9Mv5VvHQkwPEp,Olivia O'Brien,1991213.0,69,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']","['ie (1)', 'vn (1)']",ie
5602,1WcUEKDht7lhgklZZJrzNg,Alec King,14571.0,45,['pop rap'],,
5603,6DUflJztMaLRxX7uychqx4,Hasse de Moor,6434.0,24,['dutch edm'],,
5604,2D4lHamKko8RZnGsn9vOpj,Buddha Bless,55290.0,30,"['thai hip hop', 'thai pop']",['th (1)'],th
5605,61zf1QL76js0BddVLq77lj,Mih,788.0,48,[],['pt (1)'],pt
5606,0DxsiYPUEWLY4HjaUDM8Lk,Rony Fuego,9662.0,38,"['hip hop tuga', 'rap criolo']",['pt (2)'],pt
5607,50x9jHrP6wy9fo3jK5pNqS,sogumm,45737.0,44,['k-indie'],,
5608,0zcKJMI0E5YGHl7vIXPUPZ,Aavrutti,23295.0,40,"['desi hip hop', 'hindi hip hop']",,
5609,6TQj5BFPooTa08A7pk8AQ1,Kaskade,894817.0,66,"['edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'tropical house', 'vocal house']","['lt (1)', 'nl (1)', 'no (1)', 'sa (1)', 'tw (1)']",lt
5610,46l56iJIbp8BjUiNb9tG4b,Flvwlxss,1030.0,42,[],,
5611,6PRMHJ2Hs5eDWycajrl7fd,Daniel Boyacioglu,626.0,23,[],,
5612,1JDbWFeVdrcXAhwIrE9xf4,Desmond Neysmith,8.0,39,[],,
5613,4b20nn6eekG7JQYjX7zJPx,Andy Panda,353242.0,51,['russian hip hop'],['ru (1)'],ru
5614,4GZnWODgp04RCsH7kv6NLA,Sean K.,41.0,21,[],,
5615,0YE7929Kw8hXmap9LKxUiC,Swervy,24746.0,43,"['k-rap', 'korean underground rap']",,
5616,3gBZUcNeVumkeeJ19CY2sX,Ken Carson,211225.0,67,"['pluggnb', 'rap', 'vapor trap']",,
5617,0g3NiCRhEv7M4SEDMrpItN,Totally Enormous Extinct Dinosaurs,172824.0,55,"['alternative dance', 'electronica', 'indietronica', 'new rave', 'nu disco', 'oxford indie']",,
5618,212rAq8nUlNPTaWl7Y0b5i,Agatha,170.0,35,[],,
5619,05bZ3QOlK7vfflzspO0Jk5,MC Mazzie,4935.0,56,"['funk mtg', 'funk viral']","['lt (1)', 'sa (1)', 'ua (1)']",lt
5620,213Pyq3nlIwC3sI7n1HBbq,ZJ Dymond,194.0,27,[],,
5621,2J7Bw3q4TQwPwSjNPmASKt,Fossa Beats,4871.0,42,[],,
5622,2h5alBjyxfubD2ci4vSc28,Display,1999.0,47,"['greek hip hop', 'greek trap']",['gr (1)'],gr
5623,4xx3PjUWxXY0qEXUdDhrwx,Miss Bolivia,115041.0,40,"['nu-cumbia', 'rap latina']","['ar (1)', 'uy (1)']",ar
5624,2MPdHKsDL3AQ1dfKfCjbr0,Mahalingam,227.0,38,[],,
5625,1kpfvsGkNIdxTAnTRnsKLK,Ruby,42402.0,37,['romanian pop'],,
5626,0JDrljGBQpzIKFIcZ4R1H4,Dani Gambino,50811.0,53,"['greek drill', 'greek hip hop']","['cy (2)', 'gr (16)']",gr
5627,0KzoK9bz1M6R9cDBLAOF4q,Vesta,28092.0,41,"['finnish pop', 'suomi rock']",['fi (20)'],fi
5628,3xmY7evutapMbhcZva0xkn,Jitano,30758.0,43,['greek drill'],"['cy (1)', 'gr (5)']",gr
5629,0UtqyB9qf6oA6B7SeTjLue,Terakaft,13828.0,31,"['afropop', 'desert blues', 'malian blues', 'mande pop', 'tuareg guitar', 'world']",,
5630,0agcvI8NSqz4jBK3I5j6eX,The Mousses,92146.0,31,"['thai indie', 'thai pop']",['th (3)'],th
5631,0Ut5FcDeEgaM9PM3LvnH6j,Dillon Nathaniel,16652.0,36,"['bass house', 'deep groove house', 'electro house', 'house']",,
5632,07Q9n9pbwR6jQ8xH4SA46b,Justice Crew,103114.0,47,"['australian pop', 'australian talent show', 'dance pop']","['au (3)', 'nz (1)']",au
5633,60FV7KyxIH9FH1uq7u8inP,The Shapeshifters,65601.0,51,"['deep house', 'disco house', 'diva house', 'house', 'vocal house']",,
5634,1qVHDR3icC0cD02ofnzEA1,Denis First,3183.0,43,['russian edm'],,
5635,3J0t4JNgTyjwqRaXo5pNlW,Haitam,19781.0,43,"['rap df', 'trap brasileiro']",,
5636,4pY0JqyYvUpzaQDfcq127r,The Dissociatives,8417.0,21,['australian alternative rock'],,
5637,0BGiSyJ9S3YV3f40x5eK3r,adan la Amenazza,5038.0,31,[],,
5638,0ydmHwy5hFIaJEoZWWcKxC,Sapranov,8499.0,44,['greek trap'],,
5639,1sIcwndvjYuNxCXA6cmFWH,Daniel Chompa Bracho,77.0,46,[],,
5640,2zaQ4hz4xLgGGtABoUS8kf,Mc KF,3451.0,48,['funk 150 bpm'],,
5641,12Zk1DFhCbHY6v3xep2ZjI,070 Shake,386511.0,63,['new jersey rap'],"['ie (1)', 'mt (1)']",ie
5642,3exvMmrLV6o4R42YnG3Id6,Egzod,64503.0,62,"['bass trap', 'traprun']",['sa (2)'],sa
5643,2GVBp7QyHckoOg7rYkLvrA,George Clinton,426526.0,55,"['funk', 'p funk', 'soul']",,
5644,15qg3Tr23aMVGAruYtlMdg,Mike Shorey,430.0,45,[],,
5645,0QAjuB54V29PdceQCHXq2i,ADP,2688.0,27,[],,
5646,0KMw0OgYPWlF3hgQGY0VTT,Maximiliano Calvo,2561.0,33,[],,
5647,0vFxwYnfZWFzORdjR5Assr,sak10denz,609.0,32,['slovak trap'],,
5648,3QYKq7aMSiAu6gvfwNNFsv,YoungstaCPT,85760.0,37,"['cape town indie', 'south african hip hop', 'south african pop', 'south african trap']",,
5649,11x0yubMuGH3V0QaP3VDnV,Mc Pet,130.0,27,[],,
5650,4VkQs39IBA4Af9gaqMskcK,LEVO,4055.0,47,"['new school turkce rap', 'turkce drill']",,
5651,066y53j1f6CFDQ8zMae8Xl,Ysha,43.0,26,[],,
5652,6pRi6EIPXz4QJEOEsBaA0m,Chris Tomlin,1643364.0,65,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",,
5653,00hfOKuZEhvKKNXmVdb1We,Janine Jansen,45659.0,46,"['classical performance', 'violin']",,
5654,1UFLR3TTJAODTIog5FNv3e,MC Gui Andrade,1131.0,39,[],,
5655,5l6N2hoIaP7snXdjnCULvk,Luis Alfonso Partida El Yaki,182278.0,66,"['musica mexicana', 'nueva musica mexicana', 'sierreno']","['gt (1)', 'mx (1)']",gt
5656,4mNN31oshOzZr3yx4aXI3n,Ammy The Bottom Blues,52156.0,38,[],['th (4)'],th
5657,1h5mZb0u9bcFGeViohj87o,Yung Fume,53679.0,47,"['london rap', 'uk alternative hip hop', 'uk hip hop']",,
5658,2PQ0dKMMDle5scqjI1XOPK,Sebbe Staxx,6743.0,42,[],,
5659,4bXUaTjc7TQTvLqqCAlfYt,Jack Back,73436.0,50,"['edm', 'electro house', 'progressive electro house']",,
5660,2d4eIpB1YEmNsBrjFqnBI1,MERCE,173.0,36,[],,
5661,5RnUS48fC3nHEjbKeb8TPz,Renni Rucci,123184.0,45,"['pop r&b', 'south carolina hip hop', 'trap queen', 'viral rap']",,
5662,5ouX1Qz844h25lu0aXUaw5,Decrat,23622.0,47,['turkish trap pop'],,
5663,2BlkvS9gorfA8g1p9rAcXk,Maui,29.0,22,[],,
5664,6ZZ2DeepA3GpoGU4KwqSlU,Luciano Pereyra,1877363.0,64,"['argentine telepop', 'folklore argentino', 'latin pop']","['ar (5)', 'bo (2)', 'cl (2)', 'ec (1)', 'uy (2)']",ar
5665,7EyzyrMNgqiK8bMrbkOT9l,Sidoka,1125946.0,63,['rap mineiro'],"['br (3)', 'pt (1)']",br
5666,6B72wjgAkhvxTVCL6xS6mC,Stephen Puth,210952.0,48,[],['pl (1)'],pl
5667,1qNnOOSKdsCMmGIxeCdjtm,Hotfire,2733.0,30,['bass house'],,
5668,2o4R2rK7FetH40HTv0SUWl,Monali Thakur,383221.0,58,"['filmi', 'modern bollywood']",['in (1)'],in
5669,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,1871447.0,77,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana', 'sierreno']","['gt (1)', 'mx (6)']",mx
5670,3V3fNVtD8gD50ko5CWJYIx,Sammy,965.0,29,[],,
5671,0kWknKjD7r2hNh8KntEx59,TIPPA,14869.0,44,"['finnish dance pop', 'finnish hip hop', 'finnish trap']",['fi (26)'],fi
5672,698hF4vcwHwPy8ltmXermq,Far East Movement,1113599.0,65,"['asian american hip hop', 'dance pop', 'pop rap']","['de (1)', 'id (2)', 'my (1)', 'sg (1)', 'tw (1)']",id
5673,4sdcjfLzvLC1IUYFwCAWHn,Sathyaprakash,99180.0,60,"['filmi', 'tamil pop']",,
5674,2UqRkW2wfEkZmyvKyTTv2W,Ulises Bueno,1542894.0,59,['cuarteto'],['ar (4)'],ar
5675,1m2L1oj16MHAnZqzquzW4B,Taka,5388.0,45,[],,
5676,09W1Zh2IfOs6YYEiKgYY1K,LIL MORTY,177414.0,53,"['russian drain', 'russian hip hop', 'ukrainian hip hop']","['ru (3)', 'ua (9)']",ua
5677,0YVFdCm1S3ikQU0yl110lu,Disero,2830.0,34,['canadian electronic'],,
5678,10n1KB2sjTrGdyuC83y8jW,Jon Secada,309510.0,61,"['mellow gold', 'new wave pop', 'soft rock']",,
5679,2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,175543.0,51,['korean city pop'],,
5680,5Z1CCuBsyhEHngq3U5IraY,Westlife,3155018.0,69,"['boy band', 'europop']","['gb (1)', 'hk (1)', 'id (2)', 'ie (14)', 'my (3)', 'ph (1)', 'sg (3)', 'se (1)', 'tw (2)', 'vn (2)']",ie
5681,1iNqsUDUraNWrj00bqssQG,Dreamville,457507.0,68,"['hip hop', 'rap']","['us (17)', 'au (3)', 'bg (1)', 'ca (7)', 'cy (1)', 'gr (1)', 'lv (2)', 'lt (3)', 'mt (1)', 'nz (3)', 'ro (1)', 'sa (1)', 'za (19)', 'ae (2)']",za
5682,0QGicFlDrqHZqBIVSjWWMv,Asfalto Rec,5857.0,31,['trap brasileiro'],,
5683,07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid,405555.0,61,"['alternative r&b', 'chicago rap', 'hip hop', 'neo soul', 'r&b', 'underground hip hop']",,
5684,0vomb9Zaob10lPzxBcIiNb,Linney,6412.0,50,['indie poptimism'],,
5685,1gt3FXZs5qEkfF9mFxpYe2,Daoudi,141964.0,37,"['chaabi marocain', 'moroccan pop', 'rai', 'rif']",,
5686,0NsJZ5PMjqghGDuMzY7CuT,Marcos & Belutti,4767159.0,61,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (20)'],br
5687,4M07FSqpxgqLfCOaX1WUei,Alice on the roof,26427.0,40,"['belgian indie', 'belgian pop']",['be (1)'],be
5688,6HsM9NbNIunWMEFLOk4d9p,Ioulia Kallimani,1749.0,29,['greek pop'],,
5689,4WEY1EtpUsTc7DkeqABuxf,Nathys,1963.0,47,[],['it (1)'],it
5690,6WjX4pepHwXa85B9KMk0PY,P Money,139384.0,53,"['grime', 'nopixel', 'uk hip hop']",,
5691,0HZYW7kTNPn8JRCmHv6fad,Aleksander Debicz,1825.0,36,[],,
5692,3cKNppGLfcxdt9CtoHEZmQ,Ali Zafar,1478460.0,60,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'pakistani pop', 'sufi']",['in (3)'],in
5693,3XC57xz74X3xUi1hv4mge1,Winona Oak,110446.0,56,"['alt z', 'electropop', 'pop', 'swedish pop', 'uk pop']",['no (1)'],no
5694,48Fq6GV3S6on56TxSBu5NO,Celo & Abdi,360920.0,56,"['deep german hip hop', 'german hip hop', 'german underground rap']","['at (6)', 'de (19)', 'ch (6)']",de
5695,4qBgvVog0wzW75IQ48mU7v,KYLE,1020400.0,65,"['pop', 'pop rap', 'rap', 'viral rap']","['us (3)', 'gb (2)', 'au (3)', 'at (2)', 'be (2)', 'bo (1)', 'bg (2)', 'ca (3)', 'cr (1)', 'cy (3)', 'cz (2)', 'dk (2)', 'do (1)', 'sv (1)', 'ee (3)', 'fi (1)', 'fr (2)', 'de (2)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (3)', 'is (2)', 'id (2)', 'ie (3)', 'il (1)', 'it (1)', 'jp (1)', 'lv (3)', 'lt (3)', 'lu (2)', 'my (2)', 'mt (3)', 'nl (2)', 'nz (3)', 'ni (1)', 'no (2)', 'pa (1)', 'py (1)', 'ph (2)', 'pl (2)', 'pt (2)', 'ro (2)', 'sa (1)', 'sg (2)', 'sk (2)', 'es (2)', 'se (2)', 'ch (2)', 'tw (2)', 'th (1)', 'tr (1)', 'ae (1)', 'vn (1)']",us
5696,4bJh7sMPcVRiqe5jlnsWQV,DELLAFUENTE,600746.0,66,"['flamenco urbano', 'trap latino', 'urbano espanol']",['es (16)'],es
5697,2ohZgLU6lCv55yV3d05nMv,BOTCASH,959.0,27,[],['th (1)'],th
5698,05OlCJb6VjFEHPiCfwTCZx,Ampie,21080.0,28,['afrikaans'],,
5699,5BcAKTbp20cv7tC5VqPFoC,Macklemore & Ryan Lewis,2582491.0,72,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']","['us (5)', 'gb (5)', 'ar (4)', 'au (9)', 'at (10)', 'be (5)', 'bo (2)', 'br (3)', 'bg (2)', 'ca (4)', 'cl (4)', 'co (4)', 'cr (4)', 'cy (2)', 'cz (5)', 'dk (5)', 'do (4)', 'ec (4)', 'sv (3)', 'ee (5)', 'fi (6)', 'fr (11)', 'de (10)', 'gr (4)', 'gt (3)', 'hn (2)', 'hk (3)', 'hu (5)', 'is (5)', 'id (1)', 'ie (8)', 'it (6)', 'lv (6)', 'lt (6)', 'lu (4)', 'my (4)', 'mt (2)', 'mx (4)', 'nl (5)', 'nz (8)', 'ni (2)', 'no (5)', 'pa (2)', 'py (2)', 'pe (4)', 'ph (3)', 'pl (4)', 'pt (5)', 'ro (1)', 'sg (2)', 'sk (5)', 'es (3)', 'se (5)', 'ch (9)', 'tw (4)', 'tr (4)', 'uy (4)']",fr
5700,2hH16roqnQFy0PdSmgZRSJ,Ali471,105057.0,53,"['german hip hop', 'turkish trap pop']","['at (7)', 'de (13)', 'ma (1)', 'ch (3)', 'tr (1)']",de
5701,30zXw29PFUjhSYXZ6tQBJ1,Felipe,52.0,29,[],,
5702,2XIjSIUqsAXWJbMrVykTZ3,BLOODLINE,3196.0,42,[],,
5703,0xTcxl35DKXUeYRWqY10w6,Peewee Longway,482419.0,50,"['atl hip hop', 'atl trap', 'gangster rap', 'rap', 'southern hip hop', 'trap']",,
5704,3AuMNF8rQAKOzjYppFNAoB,Kelly Rowland,3207602.0,66,"['atl hip hop', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",,
5705,2zrggxqkAKkg1JaHdkCagU,DJ Menor,250.0,40,[],,
5706,1RTZXV2Txeij9hW1C88mfs,Marlon,72921.0,55,['spanish pop'],['es (2)'],es
5707,204IwDdaHE4ymGk9Kya2pY,Djonga,1526840.0,68,"['afrofuturismo brasileiro', 'rap mineiro']",['br (20)'],br
5708,2PPJ3ccorfps8VfCL6i8Rl,Next Habit,1299.0,35,[],,
5709,3wDn3kW2zDRLnaQAnX0S3x,Dat Boi Dee,22310.0,45,['rap napoletano'],['it (3)'],it
5710,3Nvjwz6gDry7Uume9kjCBT,Muroki,12933.0,44,['nz pop'],['nz (1)'],nz
5711,2IONaHGA392SSe9RuJ1GWf,Culum Frea,40.0,21,[],,
5712,0cb0p26TbAeBeekZHfxWlS,Mentissa,15240.0,53,[],['fr (1)'],fr
5713,1zng9JZpblpk48IPceRWs8,Grupo Niche,2451765.0,67,"['salsa', 'salsa colombiana', 'tropical']",['co (5)'],co
5714,6Jlck8qXRgXVgbAfwF3UuD,Victor La Voz,13341.0,38,['mambo chileno'],['cl (1)'],cl
5715,4XpUIb8uuNlIWVKmgKZXC0,ZICO,1188578.0,63,"['k-pop', 'k-rap', 'korean r&b']","['hk (3)', 'id (2)', 'my (2)', 'ph (1)', 'sg (3)', 'kr (5)', 'tw (3)', 'th (3)', 'vn (2)']",kr
5716,4xgV1UcvsrLM4rQrjTjwNw,Jammer,37513.0,39,['grime'],,
5717,40rNjx0M8iAB9kwQB3h1oI,Dinky Kunene,2716.0,34,[],['za (1)'],za
5718,513t0jZUP0K98C4h7KHtEb,NONONO,57178.0,45,"['swedish alternative rock', 'swedish indie pop']","['at (1)', 'lv (1)', 'pl (1)', 'se (1)', 'ch (1)', 'tw (1)']",at
5719,2nswwgXCXkXlDTzOvqaMee,Piano,13.0,20,[],,
5720,2SFBZgfO2H1nVSgjxzJLUy,Thomas Allen,3094.0,27,"['classical baritone', 'opera']",,
5721,46pWGuE3dSwY3bMMXGBvVS,Rema,1108392.0,77,['nigerian pop'],"['us (1)', 'gb (1)', 'au (1)', 'at (2)', 'be (2)', 'bg (1)', 'ca (1)', 'cy (2)', 'dk (1)', 'eg (2)', 'ee (1)', 'fr (2)', 'de (2)', 'it (1)', 'lv (1)', 'lt (1)', 'lu (3)', 'ma (6)', 'nl (3)', 'no (1)', 'pa (1)', 'pt (2)', 'ro (2)', 'sa (2)', 'sg (1)', 'sk (1)', 'za (2)', 'kr (1)', 'se (1)', 'ch (2)', 'ae (2)']",ma
5722,438nTuoZFCZCyBl33jE9dU,Ashafar,169222.0,60,['dutch hip hop'],"['be (12)', 'ma (2)', 'nl (38)']",nl
5723,3mYnd5Nlmdpg4D9rbAqNUD,JGKiD (Da LAB),59444.0,33,['vietnamese hip hop'],['vn (1)'],vn
5724,3xpJzqE3evjd4GzQ9pcHNr,Mad Lion,13095.0,37,"['hardcore hip hop', 'reggae fusion']",,
5725,2YnskQkgb6kTSXh9YcNzgu,Alexander Abreu,49709.0,47,"['salsa cubana', 'timba']",,
5726,3wRA5UYoo08BBKJnzyKkpF,f(x),1186733.0,53,"['k-pop', 'k-pop girl group']","['hk (1)', 'my (1)', 'sg (1)', 'tw (3)']",tw
5727,0GM7qgcRCORpGnfcN2tCiB,Tainy,1021679.0,79,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']","['us (2)', 'ar (5)', 'bo (5)', 'ca (1)', 'cl (5)', 'co (6)', 'cr (3)', 'do (6)', 'ec (5)', 'sv (6)', 'gt (5)', 'hn (6)', 'it (2)', 'lu (3)', 'mx (3)', 'nl (1)', 'ni (3)', 'pa (6)', 'py (5)', 'pe (5)', 'pt (3)', 'sa (1)', 'es (9)', 'ch (3)', 'ae (1)', 'uy (5)', 'ad (1)']",es
5728,1YwMnnHvnG64fJxYSVwmN6,Branco,61499.0,59,['danish pop'],['dk (78)'],dk
5729,1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,9953282.0,77,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']","['us (3)', 'gb (11)', 'ar (1)', 'au (7)', 'at (6)', 'be (9)', 'bo (1)', 'br (1)', 'bg (5)', 'ca (5)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (7)', 'cz (5)', 'dk (7)', 'do (1)', 'ec (1)', 'eg (3)', 'sv (1)', 'ee (6)', 'fi (8)', 'fr (3)', 'de (6)', 'gr (4)', 'gt (1)', 'hn (1)', 'hk (4)', 'hu (6)', 'is (3)', 'in (2)', 'id (2)', 'ie (13)', 'il (2)', 'it (2)', 'jp (1)', 'lv (6)', 'lt (8)', 'lu (7)', 'my (8)', 'mt (5)', 'mx (1)', 'ma (1)', 'nl (7)', 'nz (6)', 'ni (1)', 'no (10)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (5)', 'pl (3)', 'pt (2)', 'ro (3)', 'sa (3)', 'sg (8)', 'sk (6)', 'za (4)', 'kr (4)', 'es (3)', 'se (6)', 'ch (6)', 'tw (7)', 'th (5)', 'tr (3)', 'ae (4)', 'uy (1)', 'vn (4)']",ie
5730,4iSahGBKE7lJonRcxzhpPM,Julianne Aurora,264.0,29,[],,
5731,2L8dsMgFCSOumasWQ4gvwZ,Carneyval,39416.0,45,[],,
5732,3kEhFsAwYboTCzo6Z0wjTN,Moti Taka,85146.0,33,"['israeli mediterranean', 'mizrahi']",['il (5)'],il
5733,3FtVhV92rZyHa7ot2ioG5a,El Bobe,66333.0,57,"['drill espanol', 'flamenco urbano', 'trap latino', 'urbano espanol']",['es (3)'],es
5734,6pvz7OwdRHemko3hrQygJb,El Completo Rd,2113.0,45,[],['es (1)'],es
5735,1pc2LERxjl2FZ3Ir5rYBqj,MC W1,56435.0,42,['funk paulista'],,
5736,0YY5XUHt2suAzSiPMLx5Wm,Jaren,2700.0,41,['deep uplifting trance'],,
5737,2yTlIP5JyiKxuwn4Rb8NJd,Deepaim,17929.0,34,[],,
5738,3nb8360gVWO9vWGE16bE9A,Kiry Curu,22456.0,37,[],['do (1)'],do
5739,2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,1928777.0,64,"['latin arena pop', 'latin pop', 'spanish pop', 'spanish pop rock']","['ar (2)', 'co (1)', 'mx (1)', 'es (1)']",ar
5740,0OROVBEZCocg0FcgJpyBse,Alex Sensation,174111.0,57,"['latin pop', 'reggaeton', 'trap latino']","['ar (3)', 'bo (3)', 'br (1)', 'cl (4)', 'co (2)', 'cr (2)', 'do (3)', 'ec (3)', 'sv (2)', 'fr (1)', 'gt (3)', 'hn (2)', 'lu (1)', 'mt (1)', 'mx (2)', 'ni (2)', 'pa (3)', 'py (2)', 'pe (2)', 'es (6)', 'ch (1)', 'uy (4)']",es
5741,3vDh2Mern1I2k53Oy0pDlD,Galwaro,12626.0,55,['melbourne bounce international'],['fi (1)'],fi
5742,0q8J3Yj810t5cpAYEJ7gxt,Duck Sauce,109662.0,55,"['disco house', 'edm', 'electro house', 'filter house', 'house', 'vocal house']",['pl (1)'],pl
5743,3M2XM7wh2F5UgCZXvIAEAc,Blackheart,1.0,23,[],,
5744,2BuSNpxpMGJGiAAWJYJT2t,Noisestorm,139022.0,52,"['chillstep', 'complextro', 'dancefloor dnb', 'edm', 'electro house', 'gaming edm', 'speedrun']",,
5745,5D2ui1KD49TfyCDb35zf5V,Ahmed Saad,1196188.0,54,"['arab pop', 'egyptian pop', 'shaabi']","['eg (12)', 'sa (3)']",eg
5746,7r65N4pfWPM7D0zKe86jgk,Gros Mo,22092.0,49,"['french hip hop', 'pop urbaine', 'rap calme']",['fr (1)'],fr
5747,5WVYK25IDrN0y1ExA69Lr7,The Webb Sisters,5557.0,27,[],,
5748,1mwP5J1kB8clYx0SoNL0uh,Fabich,22917.0,49,"['indie soul', 'uk house']",,
5749,1stlWvYSCm3sSEIzdKBSeY,Joe Dukie,10731.0,40,[],,
