,id,name,followers,popularity,genres,chart_hits,top_chart,x,y,degree
15811,0pZGZADU2S1Vnn7wozTXzX,Hoodini,2529.0,28,['bulgarian hip hop'],,,-25121.914849868954,3529.9883174770953,6
15812,56R7ZsM4SSTGh2Lv9yaa9v,Nadhirshah,17729.0,34,['mollywood'],,,-20493.310557278877,19022.689166087697,2
15813,4nTnJuhLXyyNms4wowqmkQ,Vale LP,5235.0,23,[],,,-17792.75210179869,3388.3287594014478,1
15814,0mdzsyApmam6OqNr4Z3vKQ,Jaden Thompson,7233.0,43,['uk house'],,,-18685.14255239796,3232.035692503427,2
15815,6YGhVeajpGcixgdaTfakUL,Capital T,174774.0,53,"['albanian hip hop', 'albanian pop', 'kosovan pop']","['de (1)', 'hu (1)', 'ch (4)']",ch,-21326.693410015152,5022.389607790403,38
15816,4bu6ZJj5ThDofeVJHPVlwl,BL Zero,192.0,38,[],,,-17044.529424910063,-863.1748849655168,3
15817,0OcclcP5o8VKH2TRqSY2A7,Howard Shore,388111.0,66,"['canadian classical', 'canadian soundtrack', 'middle earth', 'orchestral soundtrack', 'scorecore', 'soundtrack', 'video game music']",,,-18632.739788874274,5506.704050689753,2
15818,09Hzsy5bgnADJzIVlYUoQ3,Los Minis de Caborca,354201.0,56,"['corrido', 'corridos tumbados', 'musica mexicana', 'nueva musica mexicana']",,,-12498.30662603688,-111.59238092478958,1
15819,0npHlWiyNlQoGnO5kryyds,JayBe,12777.0,39,['cover acustico'],['bg (1)'],bg,-14218.75183352818,3284.7302744334115,3
15820,5ppm4jKbRPVMwuBO3DwnWB,Alaska,13823.0,37,[],,,-15838.329303168806,4016.2682458569975,4
15821,0AIim12jO78DuyyUYbHfAe,Shire T,7143.0,41,['electronica'],,,-20401.960691370532,3814.5869249706584,1
15822,2Q1HJnngR9v11eyzvEgSPb,Comando Tiburon,86565.0,43,['panamanian pop'],['sv (1)'],sv,-14512.016730591211,2478.9378860381057,2
15823,06xa1OLBsMQJFXcl2tQkH4,Machinedrum,102943.0,48,"['footwork', 'glitch', 'glitch hop', 'halftime dnb', 'intelligent dance music', 'minimal dnb', 'uk bass', 'wonky']",,,-19520.408746974244,4056.695263348041,10
15824,22djHYp7AFCzq09iosbgac,Ginny Blackmore,10650.0,26,['kiwi rock'],['nz (3)'],nz,-19063.20908157125,3462.2847173650734,4
15825,2AtGepWdw4TVBnE8cBszuL,Lanz Khan,14599.0,34,"['italian hip hop', 'italian underground hip hop']",,,-20086.048918790548,2205.975604053248,2
15826,04pgbTmxJbzxlVSV0sHLAV,Noggano,158724.0,45,"['kavkaz', 'russian gangster rap', 'russian hip hop']",,,-24333.760130576884,2108.320599089345,4
15827,1HvAKjJTPn6eMOEWPkoaxN,Khan DobleL,65726.0,38,"['bases de freestyle', 'rap catala']",,,-13049.233783387734,2242.7712047730215,1
15828,0kPicknlaMeHAWBLhBJUaA,Phoebus,108.0,27,[],,,-20638.86156408966,6636.34611675858,2
15829,5nkzLizeD93QtabjeK4oyl,Djay W,114001.0,59,"['funk carioca', 'funk consciente', 'funk mtg', 'funk ostentacao', 'funk paulista']",,,-8942.532153471824,6909.6742701135245,16
15830,4Z4AA4VE6yS9vOZdEXabS8,Elise Eriksen,10458.0,25,[],,,-20149.570266335504,4074.5743461753736,2
15831,7jR5GCy4NcE2iEJScru0xv,Risto Lauriala,214.0,27,"['hengelliset laulut', 'nordic classical piano']",,,-24184.579855981974,12793.294788995408,1
15832,1b8S7EPzdckRyIh0uSbOMI,DJ Oreia,6764.0,51,[],,,-7324.66525303712,7486.527852994964,5
15833,6Kj1FOuxIekiW1kVwhMpvQ,Manuel Finotti,3496.0,22,[],,,-21012.057176101094,1928.2254368864408,1
15834,0CVdI90FSc2KH68L8KapyN,Nordic Brave House,298.0,29,[],,,-18050.290810216164,4238.696315122398,2
15835,6WQFTzqYHmh8Ph2X0L0QLQ,Young Stunna,506246.0,56,"['afro soul', 'south african pop']",['za (9)'],za,-15701.723648836054,-1548.4374128617037,27
15836,46UxF4P7x9FUigK1O2sSsV,Brotha Lynch Hung,249418.0,47,"['gangster rap', 'hip hop', 'horrorcore', 'hyphy', 'sacramento hip hop', 'west coast rap']",,,-17977.948637835496,2181.3168405795086,1
15837,0DVLNg4cUvv8X38wf9iyt2,Livv,2035.0,34,['dutch pop'],,,-21480.61362541948,2579.1105576586315,2
15838,03bZv2soJ4tPiZYlXON8Cz,Past Present,419.0,26,[],,,-20805.280395851016,4189.447634596432,2
15839,2ZwzumHJGIhzhwrVxAoEcn,Mc Sika,96.0,27,['funk consciente'],,,-6019.457868453059,8509.438274251424,2
15840,1o3mKG33qvuXI2s3HXTkYd,ILLSON,10647.0,35,['k-rap'],,,-21822.11900838714,3944.864033420956,6
15841,0FI0kxP0BWurTz8cB8BBug,Mark Knopfler,1280604.0,62,"['classic rock', 'folk rock', 'mellow gold', 'singer-songwriter']",,,-19377.16071731522,6375.664335203849,5
15842,03GzpL2janHl0iKZcBZXse,Ian Tosel,4492.0,35,['groove room'],,,-20876.9698241004,2471.7468796630737,1
